pass,obj,delay,logistic
637,-88.5,-703.0,526
638,-88.5,-703.0,526
639,-88.5,-703.0,526
640,-88.5,-703.0,526
641,-88.5,-703.0,526
642,-88.5,-703.0,526
643,-88.5,-703.0,526
644,-88.5,-703.0,526
645,-88.5,-703.0,526
646,-88.5,-703.0,526
647,-88.5,-703.0,526
648,-88.5,-703.0,526
649,-92.5,-707.0,522
650,-92.5,-707.0,522
651,-92.5,-707.0,522
652,-92.5,-707.0,522
653,-92.5,-707.0,522
654,-92.5,-707.0,522
655,-92.5,-707.0,522
656,-92.5,-707.0,522
657,-92.5,-707.0,522
658,-92.5,-707.0,522
659,-92.5,-707.0,522
660,-92.5,-707.0,522
661,-92.5,-707.0,522
662,-92.5,-707.0,522
663,-92.5,-707.0,522
664,-92.5,-707.0,522
665,-92.5,-707.0,522
666,-92.5,-707.0,522
667,-92.5,-707.0,522
668,-92.5,-707.0,522
669,-92.5,-707.0,522
670,-92.5,-707.0,522
671,-97.0,-705.0,511
672,-97.0,-705.0,511
673,-97.0,-705.0,511
674,-97.0,-705.0,511
675,-97.0,-705.0,511
676,-97.0,-705.0,511
677,-97.0,-705.0,511
678,-97.0,-705.0,511
679,-97.0,-705.0,511
680,-97.0,-705.0,511
681,-88.5,-705.0,528
682,-88.5,-705.0,528
683,-88.5,-705.0,528
684,-88.5,-705.0,528
685,-93.0,-701.0,515
686,-93.0,-701.0,515
687,-93.0,-701.0,515
688,-93.0,-701.0,515
689,-93.0,-701.0,515
690,-93.0,-701.0,515
691,-93.0,-701.0,515
692,-93.0,-701.0,515
693,-93.0,-701.0,515
694,-93.0,-701.0,515
695,-93.0,-701.0,515
696,-93.0,-701.0,515
697,-93.0,-701.0,515
698,-93.0,-701.0,515
699,-93.0,-701.0,515
700,-93.0,-701.0,515
701,-93.0,-701.0,515
702,-93.0,-701.0,515
703,-93.0,-701.0,515
704,-93.0,-701.0,515
705,-93.0,-701.0,515
706,-93.0,-701.0,515
707,-93.0,-701.0,515
708,-93.0,-701.0,515
709,-83.5,-697.0,530
710,-83.5,-697.0,530
711,-83.5,-697.0,530
712,-83.5,-697.0,530
713,-83.5,-697.0,530
714,-83.5,-697.0,530
715,-83.5,-697.0,530
716,-83.5,-697.0,530
717,-83.5,-697.0,530
718,-83.5,-697.0,530
719,-83.5,-697.0,530
720,-83.5,-697.0,530
721,-89.0,-694.0,516
722,-89.0,-694.0,516
723,-89.0,-694.0,516
724,-89.0,-694.0,516
725,-89.0,-694.0,516
726,-89.0,-694.0,516
727,-89.0,-694.0,516
728,-89.0,-694.0,516
729,-89.0,-694.0,516
730,-89.0,-694.0,516
731,-89.0,-694.0,516
732,-89.0,-694.0,516
733,-89.0,-694.0,516
734,-89.0,-694.0,516
735,-76.0,-729.0,577
736,-90.5,-726.0,545
737,-90.5,-726.0,545
738,-90.5,-726.0,545
739,-90.5,-726.0,545
740,-90.5,-726.0,545
741,-90.5,-726.0,545
742,-90.5,-726.0,545
743,-90.5,-726.0,545
744,-90.5,-726.0,545
745,-90.5,-726.0,545
746,-90.5,-726.0,545
747,-90.5,-726.0,545
748,-90.5,-726.0,545
749,-90.5,-726.0,545
750,-90.5,-726.0,545
751,-90.5,-726.0,545
752,-90.5,-726.0,545
753,-90.5,-726.0,545
754,-81.0,-728.0,566
755,-81.0,-728.0,566
756,-81.0,-728.0,566
757,-81.0,-728.0,566
758,-81.0,-728.0,566
759,-81.0,-728.0,566
760,-81.0,-728.0,566
761,-81.0,-728.0,566
762,-81.0,-728.0,566
763,-81.0,-728.0,566
764,-81.0,-728.0,566
765,-81.0,-728.0,566
766,-81.0,-728.0,566
767,-67.5,-733.0,598
768,-67.5,-733.0,598
769,-65.0,-737.0,607
770,-73.5,-737.0,590
771,-73.5,-737.0,590
772,-73.5,-737.0,590
773,-73.5,-737.0,590
774,-73.5,-737.0,590
775,-73.5,-737.0,590
776,-73.5,-737.0,590
777,-73.5,-737.0,590
778,-76.0,-733.0,581
779,-76.0,-733.0,581
780,-76.0,-733.0,581
781,-99.0,-726.0,528
782,-99.0,-726.0,528
783,-99.0,-726.0,528
784,-99.0,-726.0,528
785,-99.0,-726.0,528
786,-99.0,-726.0,528
787,-99.0,-726.0,528
788,-99.0,-726.0,528
789,-99.0,-726.0,528
790,-99.0,-726.0,528
791,-99.0,-726.0,528
792,-99.0,-726.0,528
793,-99.0,-726.0,528
794,-99.0,-726.0,528
795,-99.0,-726.0,528
796,-99.0,-726.0,528
797,-99.0,-726.0,528
798,-99.0,-726.0,528
799,-99.0,-726.0,528
800,-99.0,-726.0,528
801,-99.0,-726.0,528
802,-99.0,-726.0,528
803,-99.0,-726.0,528
804,-99.0,-726.0,528
805,-99.0,-726.0,528
806,-99.0,-726.0,528
807,-99.0,-726.0,528
808,-99.0,-726.0,528
809,-99.0,-726.0,528
810,-99.0,-726.0,528
811,-99.0,-726.0,528
812,-99.0,-726.0,528
813,-99.0,-726.0,528
814,-99.0,-726.0,528
815,-76.0,-733.0,581
816,-76.0,-733.0,581
817,-76.0,-733.0,581
818,-76.0,-733.0,581
819,-76.0,-733.0,581
820,-76.0,-733.0,581
821,-87.5,-727.0,552
822,-87.5,-727.0,552
823,-87.5,-727.0,552
824,-87.5,-727.0,552
825,-87.5,-727.0,552
826,-87.5,-727.0,552
827,-87.5,-727.0,552
828,-87.5,-727.0,552
829,-102.0,-720.0,516
830,-113.5,-722.0,495
831,-113.5,-722.0,495
832,-118.5,-720.0,483
833,-100.5,-722.0,521
834,-100.5,-722.0,521
835,-100.5,-722.0,521
836,-100.5,-722.0,521
837,-100.5,-722.0,521
838,-100.5,-722.0,521
839,-100.5,-722.0,521
840,-100.5,-722.0,521
841,-100.5,-722.0,521
842,-100.5,-722.0,521
843,-100.5,-722.0,521
844,-100.5,-722.0,521
845,-100.5,-722.0,521
846,-100.5,-722.0,521
847,-100.5,-722.0,521
848,-100.5,-722.0,521
849,-100.5,-722.0,521
850,-100.5,-722.0,521
851,-100.5,-722.0,521
852,-102.0,-716.0,512
853,-102.0,-716.0,512
854,-102.0,-716.0,512
855,-102.0,-716.0,512
856,-114.0,-716.0,488
857,-114.0,-716.0,488
858,-114.0,-716.0,488
859,-114.0,-716.0,488
860,-114.0,-716.0,488
861,-114.0,-716.0,488
862,-114.0,-716.0,488
863,-114.0,-716.0,488
864,-110.5,-717.0,496
865,-110.5,-717.0,496
866,-110.5,-717.0,496
867,-110.5,-717.0,496
868,-121.0,-691.0,449
869,-121.0,-691.0,449
870,-90.5,-651.0,470
871,-90.5,-651.0,470
872,-90.5,-651.0,470
873,-90.5,-651.0,470
874,-90.5,-651.0,470
875,-90.5,-651.0,470
876,-90.5,-651.0,470
877,-90.5,-651.0,470
878,-90.5,-651.0,470
879,-90.5,-651.0,470
880,-90.5,-651.0,470
881,-90.5,-651.0,470
882,-90.5,-651.0,470
883,-90.5,-651.0,470
884,-90.5,-651.0,470
885,-90.5,-651.0,470
886,-90.5,-651.0,470
887,-90.5,-651.0,470
888,-90.5,-651.0,470
889,-90.5,-651.0,470
890,-90.5,-651.0,470
891,-90.5,-651.0,470
892,-90.5,-651.0,470
893,-90.5,-651.0,470
894,-90.5,-651.0,470
895,-90.5,-651.0,470
896,-90.5,-651.0,470
897,-95.5,-668.0,477
898,-95.5,-668.0,477
899,-95.5,-668.0,477
900,-95.5,-668.0,477
901,-101.5,-668.0,465
902,-101.5,-668.0,465
903,-101.5,-668.0,465
904,-101.5,-668.0,465
905,-101.5,-668.0,465
906,-101.5,-668.0,465
907,-101.5,-668.0,465
908,-96.5,-651.0,458
909,-96.5,-651.0,458
910,-96.5,-651.0,458
911,-96.5,-651.0,458
912,-96.5,-651.0,458
913,-96.5,-651.0,458
914,-96.5,-651.0,458
915,-96.5,-651.0,458
916,-96.5,-651.0,458
917,-96.5,-651.0,458
918,-96.5,-651.0,458
919,-96.5,-651.0,458
920,-96.5,-651.0,458
921,-96.5,-651.0,458
922,-96.5,-651.0,458
923,-96.5,-651.0,458
924,-96.5,-651.0,458
925,-96.5,-651.0,458
926,-96.5,-651.0,458
927,-96.5,-651.0,458
928,-96.5,-651.0,458
929,-96.5,-651.0,458
930,-96.5,-651.0,458
931,-96.5,-651.0,458
932,-96.5,-651.0,458
933,-96.5,-651.0,458
934,-96.5,-651.0,458
935,-96.5,-651.0,458
936,-97.5,-729.0,534
937,-97.5,-729.0,534
938,-97.5,-729.0,534
939,-97.5,-729.0,534
940,-126.5,-708.0,455
941,-126.5,-708.0,455
942,-120.5,-708.0,467
943,-120.5,-708.0,467
944,-120.5,-708.0,467
945,-120.5,-708.0,467
946,-120.5,-708.0,467
947,-120.5,-708.0,467
948,-120.5,-708.0,467
949,-120.5,-708.0,467
950,-120.5,-708.0,467
951,-120.5,-708.0,467
952,-120.5,-708.0,467
953,-120.5,-708.0,467
954,-120.5,-708.0,467
955,-120.5,-708.0,467
956,-120.5,-708.0,467
957,-126.5,-708.0,455
958,-126.5,-708.0,455
959,-126.5,-708.0,455
960,-126.5,-708.0,455
961,-126.5,-708.0,455
962,-129.5,-708.0,449
963,-129.5,-708.0,449
964,-129.5,-708.0,449
965,-129.5,-708.0,449
966,-129.5,-708.0,449
967,-129.5,-708.0,449
968,-129.5,-708.0,449
969,-129.5,-708.0,449
970,-129.5,-708.0,449
971,-129.5,-708.0,449
972,-129.5,-708.0,449
973,-129.5,-708.0,449
974,-129.5,-708.0,449
975,-129.5,-708.0,449
976,-129.5,-708.0,449
977,-145.5,-718.0,427
978,-145.5,-718.0,427
979,-145.5,-718.0,427
980,-145.5,-718.0,427
981,-145.5,-718.0,427
982,-145.5,-718.0,427
983,-145.5,-718.0,427
984,-145.5,-718.0,427
985,-145.5,-718.0,427
986,-145.5,-718.0,427
987,-120.0,-724.0,484
988,-120.0,-724.0,484
989,-120.0,-724.0,484
990,-120.0,-724.0,484
991,-120.0,-724.0,484
992,-120.0,-724.0,484
993,-120.0,-724.0,484
994,-120.0,-724.0,484
995,-120.0,-724.0,484
996,-120.0,-724.0,484
